MakeDate,Year,Population,GrowthRate,Growth,Month,Active listing,Sales,Sales ratio,Benchmark price,Average day on market,Bank of Canada Interest Rate,Interest Change,Adj Close,Close,High,Open,Low,Index Change,Volume,Housetype
1/1/2020,2020,2581079,0.0099,25195,1,3411,814,0.238639695,663200,43,0.0175,0,17381.99565,17381.99565,17412.73171,17360.34553,17328.04998,-21.65012,21187187727,A
1/1/2020,2020,2581079,0.0099,25195,1,1407,318,0.226012793,782500,58,0.0175,0,17381.99565,17381.99565,17412.73171,17360.34553,17328.04998,-21.65012,21187187727,T
1/1/2020,2020,2581079,0.0099,25195,1,3799,439,0.115556725,1431200,69,0.0175,0,17381.99565,17381.99565,17412.73171,17360.34553,17328.04998,-21.65012,21187187727,D
2/1/2020,2020,2581079,0.0099,25195,2,3732,1061,0.284297964,677200,31,0.0175,0,17542.68945,17542.68945,17609.17887,17558.31055,17466.33697,15.6211,26151855789,A
2/1/2020,2020,2581079,0.0099,25195,2,1504,404,0.268617021,785000,32,0.0175,0,17542.68945,17542.68945,17609.17887,17558.31055,17466.33697,15.6211,26151855789,T
2/1/2020,2020,2581079,0.0099,25195,2,3959,685,0.173023491,1433900,46,0.0175,0,17542.68945,17542.68945,17609.17887,17558.31055,17466.33697,15.6211,26151855789,D
3/1/2020,2020,2581079,0.0099,25195,3,4081,1179,0.288899779,687000,29,0.0025,-0.015,13757.13184,13757.13184,14098.3999,13804.75,13428.94997,47.61816,49985722727,A
3/1/2020,2020,2581079,0.0099,25195,3,1494,493,0.329986613,791800,30,0.0025,-0.015,13757.13184,13757.13184,14098.3999,13804.75,13428.94997,47.61816,49985722727,T
3/1/2020,2020,2581079,0.0099,25195,3,4031,852,0.211361945,1450700,43,0.0025,-0.015,13757.13184,13757.13184,14098.3999,13804.75,13428.94997,47.61816,49985722727,D
3/1/2020,2020,2581079,0.0099,25195,3,4081,1179,0.288899779,687000,29,0.0025,-0.015,13757.13184,13757.13184,14098.3999,13804.75,13428.94997,47.61816,49985722727,A
3/1/2020,2020,2581079,0.0099,25195,3,1494,493,0.329986613,791800,30,0.0025,-0.015,13757.13184,13757.13184,14098.3999,13804.75,13428.94997,47.61816,49985722727,T
3/1/2020,2020,2581079,0.0099,25195,3,4031,852,0.211361945,1450700,43,0.0025,-0.015,13757.13184,13757.13184,14098.3999,13804.75,13428.94997,47.61816,49985722727,D
3/1/2020,2020,2581079,0.0099,25195,3,4081,1179,0.288899779,687000,29,0.0025,-0.015,13757.13184,13757.13184,14098.3999,13804.75,13428.94997,47.61816,49985722727,A
3/1/2020,2020,2581079,0.0099,25195,3,1494,493,0.329986613,791800,30,0.0025,-0.015,13757.13184,13757.13184,14098.3999,13804.75,13428.94997,47.61816,49985722727,T
3/1/2020,2020,2581079,0.0099,25195,3,4031,852,0.211361945,1450700,43,0.0025,-0.015,13757.13184,13757.13184,14098.3999,13804.75,13428.94997,47.61816,49985722727,D
4/1/2020,2020,2581079,0.0099,25195,4,4045,503,0.124351051,685500,29,0.0025,0,14071.47614,14071.47614,14214.60956,14055.99042,13920.60472,-15.48572,34830836667,A
4/1/2020,2020,2581079,0.0099,25195,4,1481,218,0.147197839,796800,32,0.0025,0,14071.47614,14071.47614,14214.60956,14055.99042,13920.60472,-15.48572,34830836667,T
4/1/2020,2020,2581079,0.0099,25195,4,3863,388,0.100440072,1462100,44,0.0025,0,14071.47614,14071.47614,14214.60956,14055.99042,13920.60472,-15.48572,34830836667,D
4/1/2020,2020,2581079,0.0099,25195,4,4045,503,0.124351051,685500,29,0.0025,0,14071.47614,14071.47614,14214.60956,14055.99042,13920.60472,-15.48572,34830836667,A
4/1/2020,2020,2581079,0.0099,25195,4,1481,218,0.147197839,796800,32,0.0025,0,14071.47614,14071.47614,14214.60956,14055.99042,13920.60472,-15.48572,34830836667,T
4/1/2020,2020,2581079,0.0099,25195,4,3863,388,0.100440072,1462100,44,0.0025,0,14071.47614,14071.47614,14214.60956,14055.99042,13920.60472,-15.48572,34830836667,D
4/1/2020,2020,2581079,0.0099,25195,4,4045,503,0.124351051,685500,29,0.0025,0,14071.47614,14071.47614,14214.60956,14055.99042,13920.60472,-15.48572,34830836667,A
4/1/2020,2020,2581079,0.0099,25195,4,1481,218,0.147197839,796800,32,0.0025,0,14071.47614,14071.47614,14214.60956,14055.99042,13920.60472,-15.48572,34830836667,T
4/1/2020,2020,2581079,0.0099,25195,4,3863,388,0.100440072,1462100,44,0.0025,0,14071.47614,14071.47614,14214.60956,14055.99042,13920.60472,-15.48572,34830836667,D
5/1/2020,2020,2581079,0.0099,25195,5,4402,653,0.148341663,686500,35,0.0025,0,14903.83501,14903.83501,14987.28994,14919.90508,14790.11504,16.07007,31988184500,A
5/1/2020,2020,2581079,0.0099,25195,5,1576,298,0.189086294,792700,39,0.0025,0,14903.83501,14903.83501,14987.28994,14919.90508,14790.11504,16.07007,31988184500,T
5/1/2020,2020,2581079,0.0099,25195,5,3949,534,0.135224107,1456700,45,0.0025,0,14903.83501,14903.83501,14987.28994,14919.90508,14790.11504,16.07007,31988184500,D
5/1/2020,2020,2581079,0.0099,25195,5,4402,653,0.148341663,686500,35,0.0025,0,14903.83501,14903.83501,14987.28994,14919.90508,14790.11504,16.07007,31988184500,A
5/1/2020,2020,2581079,0.0099,25195,5,1576,298,0.189086294,792700,39,0.0025,0,14903.83501,14903.83501,14987.28994,14919.90508,14790.11504,16.07007,31988184500,T
5/1/2020,2020,2581079,0.0099,25195,5,3949,534,0.135224107,1456700,45,0.0025,0,14903.83501,14903.83501,14987.28994,14919.90508,14790.11504,16.07007,31988184500,D
5/1/2020,2020,2581079,0.0099,25195,5,4402,653,0.148341663,686500,35,0.0025,0,14903.83501,14903.83501,14987.28994,14919.90508,14790.11504,16.07007,31988184500,A
5/1/2020,2020,2581079,0.0099,25195,5,1576,298,0.189086294,792700,39,0.0025,0,14903.83501,14903.83501,14987.28994,14919.90508,14790.11504,16.07007,31988184500,T
5/1/2020,2020,2581079,0.0099,25195,5,3949,534,0.135224107,1456700,45,0.0025,0,14903.83501,14903.83501,14987.28994,14919.90508,14790.11504,16.07007,31988184500,D
6/1/2020,2020,2581079,0.0099,25195,6,5192,1105,0.212827427,680800,32,0.0025,0,15480.88188,15480.88188,15583.05003,15500.50897,15368.70011,19.62709,32107170455,A
6/1/2020,2020,2581079,0.0099,25195,6,1872,472,0.252136752,790800,37,0.0025,0,15480.88188,15480.88188,15583.05003,15500.50897,15368.70011,19.62709,32107170455,T
6/1/2020,2020,2581079,0.0099,25195,6,4360,866,0.198623853,1464200,45,0.0025,0,15480.88188,15480.88188,15583.05003,15500.50897,15368.70011,19.62709,32107170455,D
6/1/2020,2020,2581079,0.0099,25195,6,5192,1105,0.212827427,680800,32,0.0025,0,15480.88188,15480.88188,15583.05003,15500.50897,15368.70011,19.62709,32107170455,A
6/1/2020,2020,2581079,0.0099,25195,6,1872,472,0.252136752,790800,37,0.0025,0,15480.88188,15480.88188,15583.05003,15500.50897,15368.70011,19.62709,32107170455,T
6/1/2020,2020,2581079,0.0099,25195,6,4360,866,0.198623853,1464200,45,0.0025,0,15480.88188,15480.88188,15583.05003,15500.50897,15368.70011,19.62709,32107170455,D
6/1/2020,2020,2581079,0.0099,25195,6,5192,1105,0.212827427,680800,32,0.0025,0,15480.88188,15480.88188,15583.05003,15500.50897,15368.70011,19.62709,32107170455,A
6/1/2020,2020,2581079,0.0099,25195,6,1872,472,0.252136752,790800,37,0.0025,0,15480.88188,15480.88188,15583.05003,15500.50897,15368.70011,19.62709,32107170455,T
6/1/2020,2020,2581079,0.0099,25195,6,4360,866,0.198623853,1464200,45,0.0025,0,15480.88188,15480.88188,15583.05003,15500.50897,15368.70011,19.62709,32107170455,D
7/1/2020,2020,2581079,0.0099,25195,7,5669,1400,0.246957135,682500,31,0.0025,0,15942.4818,15942.4818,16016.25453,15938.02717,15847.25453,-4.45463,19476365909,A
7/1/2020,2020,2581079,0.0099,25195,7,1954,607,0.310644831,797700,33,0.0025,0,15942.4818,15942.4818,16016.25453,15938.02717,15847.25453,-4.45463,19476365909,T
7/1/2020,2020,2581079,0.0099,25195,7,4460,1121,0.251345291,1477800,41,0.0025,0,15942.4818,15942.4818,16016.25453,15938.02717,15847.25453,-4.45463,19476365909,D
7/1/2020,2020,2581079,0.0099,25195,7,5669,1400,0.246957135,682500,31,0.0025,0,15942.4818,15942.4818,16016.25453,15938.02717,15847.25453,-4.45463,19476365909,A
7/1/2020,2020,2581079,0.0099,25195,7,1954,607,0.310644831,797700,33,0.0025,0,15942.4818,15942.4818,16016.25453,15938.02717,15847.25453,-4.45463,19476365909,T
7/1/2020,2020,2581079,0.0099,25195,7,4460,1121,0.251345291,1477800,41,0.0025,0,15942.4818,15942.4818,16016.25453,15938.02717,15847.25453,-4.45463,19476365909,D
7/1/2020,2020,2581079,0.0099,25195,7,5669,1400,0.246957135,682500,31,0.0025,0,15942.4818,15942.4818,16016.25453,15938.02717,15847.25453,-4.45463,19476365909,A
7/1/2020,2020,2581079,0.0099,25195,7,1954,607,0.310644831,797700,33,0.0025,0,15942.4818,15942.4818,16016.25453,15938.02717,15847.25453,-4.45463,19476365909,T
7/1/2020,2020,2581079,0.0099,25195,7,4460,1121,0.251345291,1477800,41,0.0025,0,15942.4818,15942.4818,16016.25453,15938.02717,15847.25453,-4.45463,19476365909,D
8/1/2020,2020,2581079,0.0099,25195,8,6153,1332,0.216479766,685800,32,0.0025,0,16584.29004,16584.29004,16635.97515,16589.13994,16518.07988,4.8499,19975978000,A
8/1/2020,2020,2581079,0.0099,25195,8,2036,620,0.304518664,806400,34,0.0025,0,16584.29004,16584.29004,16635.97515,16589.13994,16518.07988,4.8499,19975978000,T
8/1/2020,2020,2581079,0.0099,25195,8,4614,1095,0.237321196,1491300,38,0.0025,0,16584.29004,16584.29004,16635.97515,16589.13994,16518.07988,4.8499,19975978000,D
8/1/2020,2020,2581079,0.0099,25195,8,6153,1332,0.216479766,685800,32,0.0025,0,16584.29004,16584.29004,16635.97515,16589.13994,16518.07988,4.8499,19975978000,A
8/1/2020,2020,2581079,0.0099,25195,8,2036,620,0.304518664,806400,34,0.0025,0,16584.29004,16584.29004,16635.97515,16589.13994,16518.07988,4.8499,19975978000,T
8/1/2020,2020,2581079,0.0099,25195,8,4614,1095,0.237321196,1491300,38,0.0025,0,16584.29004,16584.29004,16635.97515,16589.13994,16518.07988,4.8499,19975978000,D
8/1/2020,2020,2581079,0.0099,25195,8,6153,1332,0.216479766,685800,32,0.0025,0,16584.29004,16584.29004,16635.97515,16589.13994,16518.07988,4.8499,19975978000,A
8/1/2020,2020,2581079,0.0099,25195,8,2036,620,0.304518664,806400,34,0.0025,0,16584.29004,16584.29004,16635.97515,16589.13994,16518.07988,4.8499,19975978000,T
8/1/2020,2020,2581079,0.0099,25195,8,4614,1095,0.237321196,1491300,38,0.0025,0,16584.29004,16584.29004,16635.97515,16589.13994,16518.07988,4.8499,19975978000,D
9/1/2020,2020,2581079,0.0099,25195,9,6428,1596,0.248288737,683500,32,0.0025,0,16234.7048,16234.7048,16343.98075,16269.68094,16138.49995,34.97614,23509544762,A
9/1/2020,2020,2581079,0.0099,25195,9,2021,730,0.361207323,809900,33,0.0025,0,16234.7048,16234.7048,16343.98075,16269.68094,16138.49995,34.97614,23509544762,T
9/1/2020,2020,2581079,0.0099,25195,9,4647,1317,0.283408651,1507500,40,0.0025,0,16234.7048,16234.7048,16343.98075,16269.68094,16138.49995,34.97614,23509544762,D
9/1/2020,2020,2581079,0.0099,25195,9,6428,1596,0.248288737,683500,32,0.0025,0,16234.7048,16234.7048,16343.98075,16269.68094,16138.49995,34.97614,23509544762,A
9/1/2020,2020,2581079,0.0099,25195,9,2021,730,0.361207323,809900,33,0.0025,0,16234.7048,16234.7048,16343.98075,16269.68094,16138.49995,34.97614,23509544762,T
9/1/2020,2020,2581079,0.0099,25195,9,4647,1317,0.283408651,1507500,40,0.0025,0,16234.7048,16234.7048,16343.98075,16269.68094,16138.49995,34.97614,23509544762,D
9/1/2020,2020,2581079,0.0099,25195,9,6428,1596,0.248288737,683500,32,0.0025,0,16234.7048,16234.7048,16343.98075,16269.68094,16138.49995,34.97614,23509544762,A
9/1/2020,2020,2581079,0.0099,25195,9,2021,730,0.361207323,809900,33,0.0025,0,16234.7048,16234.7048,16343.98075,16269.68094,16138.49995,34.97614,23509544762,T
9/1/2020,2020,2581079,0.0099,25195,9,4647,1317,0.283408651,1507500,40,0.0025,0,16234.7048,16234.7048,16343.98075,16269.68094,16138.49995,34.97614,23509544762,D
10/1/2020,2020,2581079,0.0099,25195,10,6295,1570,0.249404289,683500,32,0.0025,0,16226.72387,16226.72387,16307.52855,16252.68564,16148.39993,25.96177,21104836667,A
10/1/2020,2020,2581079,0.0099,25195,10,1797,782,0.435169727,813000,29,0.0025,0,16226.72387,16226.72387,16307.52855,16252.68564,16148.39993,25.96177,21104836667,T
10/1/2020,2020,2581079,0.0099,25195,10,4324,1335,0.308741906,1523800,38,0.0025,0,16226.72387,16226.72387,16307.52855,16252.68564,16148.39993,25.96177,21104836667,D
10/1/2020,2020,2581079,0.0099,25195,10,6295,1570,0.249404289,683500,32,0.0025,0,16226.72387,16226.72387,16307.52855,16252.68564,16148.39993,25.96177,21104836667,A
10/1/2020,2020,2581079,0.0099,25195,10,1797,782,0.435169727,813000,29,0.0025,0,16226.72387,16226.72387,16307.52855,16252.68564,16148.39993,25.96177,21104836667,T
10/1/2020,2020,2581079,0.0099,25195,10,4324,1335,0.308741906,1523800,38,0.0025,0,16226.72387,16226.72387,16307.52855,16252.68564,16148.39993,25.96177,21104836667,D
10/1/2020,2020,2581079,0.0099,25195,10,6295,1570,0.249404289,683500,32,0.0025,0,16226.72387,16226.72387,16307.52855,16252.68564,16148.39993,25.96177,21104836667,A
10/1/2020,2020,2581079,0.0099,25195,10,1797,782,0.435169727,813000,29,0.0025,0,16226.72387,16226.72387,16307.52855,16252.68564,16148.39993,25.96177,21104836667,T
10/1/2020,2020,2581079,0.0099,25195,10,4324,1335,0.308741906,1523800,38,0.0025,0,16226.72387,16226.72387,16307.52855,16252.68564,16148.39993,25.96177,21104836667,D
11/1/2020,2020,2581079,0.0099,25195,11,5734,1371,0.239100105,676500,34,0.0025,0,16743.60491,16743.60491,16805.07631,16723.40481,16657.86677,-20.2001,27068319524,A
11/1/2020,2020,2581079,0.0099,25195,11,1578,632,0.400506971,814800,35,0.0025,0,16743.60491,16743.60491,16805.07631,16723.40481,16657.86677,-20.2001,27068319524,T
11/1/2020,2020,2581079,0.0099,25195,11,3806,1061,0.278770363,1538900,42,0.0025,0,16743.60491,16743.60491,16805.07631,16723.40481,16657.86677,-20.2001,27068319524,D
11/1/2020,2020,2581079,0.0099,25195,11,5734,1371,0.239100105,676500,34,0.0025,0,16743.60491,16743.60491,16805.07631,16723.40481,16657.86677,-20.2001,27068319524,A
11/1/2020,2020,2581079,0.0099,25195,11,1578,632,0.400506971,814800,35,0.0025,0,16743.60491,16743.60491,16805.07631,16723.40481,16657.86677,-20.2001,27068319524,T
11/1/2020,2020,2581079,0.0099,25195,11,3806,1061,0.278770363,1538900,42,0.0025,0,16743.60491,16743.60491,16805.07631,16723.40481,16657.86677,-20.2001,27068319524,D
11/1/2020,2020,2581079,0.0099,25195,11,5734,1371,0.239100105,676500,34,0.0025,0,16743.60491,16743.60491,16805.07631,16723.40481,16657.86677,-20.2001,27068319524,A
11/1/2020,2020,2581079,0.0099,25195,11,1578,632,0.400506971,814800,35,0.0025,0,16743.60491,16743.60491,16805.07631,16723.40481,16657.86677,-20.2001,27068319524,T
11/1/2020,2020,2581079,0.0099,25195,11,3806,1061,0.278770363,1538900,42,0.0025,0,16743.60491,16743.60491,16805.07631,16723.40481,16657.86677,-20.2001,27068319524,D
12/1/2020,2020,2581079,0.0099,25195,12,4449,1474,0.331310407,676500,40,0.0025,0,17520.94782,17520.94782,17582.64267,17524.89053,17455.00484,3.94271,24774899524,A
12/1/2020,2020,2581079,0.0099,25195,12,1176,593,0.504251701,813900,32,0.0025,0,17520.94782,17520.94782,17582.64267,17524.89053,17455.00484,3.94271,24774899524,T
12/1/2020,2020,2581079,0.0099,25195,12,2913,1026,0.352214212,1554600,50,0.0025,0,17520.94782,17520.94782,17582.64267,17524.89053,17455.00484,3.94271,24774899524,D
12/1/2020,2020,2581079,0.0099,25195,12,4449,1474,0.331310407,676500,40,0.0025,0,17520.94782,17520.94782,17582.64267,17524.89053,17455.00484,3.94271,24774899524,A
12/1/2020,2020,2581079,0.0099,25195,12,1176,593,0.504251701,813900,32,0.0025,0,17520.94782,17520.94782,17582.64267,17524.89053,17455.00484,3.94271,24774899524,T
12/1/2020,2020,2581079,0.0099,25195,12,2913,1026,0.352214212,1554600,50,0.0025,0,17520.94782,17520.94782,17582.64267,17524.89053,17455.00484,3.94271,24774899524,D
12/1/2020,2020,2581079,0.0099,25195,12,4449,1474,0.331310407,676500,40,0.0025,0,17520.94782,17520.94782,17582.64267,17524.89053,17455.00484,3.94271,24774899524,A
12/1/2020,2020,2581079,0.0099,25195,12,1176,593,0.504251701,813900,32,0.0025,0,17520.94782,17520.94782,17582.64267,17524.89053,17455.00484,3.94271,24774899524,T
12/1/2020,2020,2581079,0.0099,25195,12,2913,1026,0.352214212,1554600,50,0.0025,0,17520.94782,17520.94782,17582.64267,17524.89053,17455.00484,3.94271,24774899524,D
1/1/2021,2021,2606351,0.0098,25272,1,4291,1195,0.278489863,680800,44,0.0025,0,17830.675,17830.675,17908.31514,17853.74512,17756.53506,23.07012,25055599000,A
1/1/2021,2021,2606351,0.0098,25272,1,1206,454,0.376451078,815800,34,0.0025,0,17830.675,17830.675,17908.31514,17853.74512,17756.53506,23.07012,25055599000,T
1/1/2021,2021,2606351,0.0098,25272,1,2809,740,0.263438946,1576800,51,0.0025,0,17830.675,17830.675,17908.31514,17853.74512,17756.53506,23.07012,25055599000,D
1/1/2021,2021,2606351,0.0098,25272,1,4291,1195,0.278489863,680800,44,0.0025,0,17830.675,17830.675,17908.31514,17853.74512,17756.53506,23.07012,25055599000,A
1/1/2021,2021,2606351,0.0098,25272,1,1206,454,0.376451078,815800,34,0.0025,0,17830.675,17830.675,17908.31514,17853.74512,17756.53506,23.07012,25055599000,T
1/1/2021,2021,2606351,0.0098,25272,1,2809,740,0.263438946,1576800,51,0.0025,0,17830.675,17830.675,17908.31514,17853.74512,17756.53506,23.07012,25055599000,D
1/1/2021,2021,2606351,0.0098,25272,1,4291,1195,0.278489863,680800,44,0.0025,0,17830.675,17830.675,17908.31514,17853.74512,17756.53506,23.07012,25055599000,A
1/1/2021,2021,2606351,0.0098,25272,1,1206,454,0.376451078,815800,34,0.0025,0,17830.675,17830.675,17908.31514,17853.74512,17756.53506,23.07012,25055599000,T
1/1/2021,2021,2606351,0.0098,25272,1,2809,740,0.263438946,1576800,51,0.0025,0,17830.675,17830.675,17908.31514,17853.74512,17756.53506,23.07012,25055599000,D
2/1/2021,2021,2606351,0.0098,25272,2,4218,1759,0.417022285,697500,33,0.0025,0,18250.07905,18250.07905,18307.59468,18228.63168,18129.47358,-21.44737,28305160526,A
2/1/2021,2021,2606351,0.0098,25272,2,1192,737,0.618288591,839800,22,0.0025,0,18250.07905,18250.07905,18307.59468,18228.63168,18129.47358,-21.44737,28305160526,T
2/1/2021,2021,2606351,0.0098,25272,2,2948,1231,0.417571235,1621200,39,0.0025,0,18250.07905,18250.07905,18307.59468,18228.63168,18129.47358,-21.44737,28305160526,D
2/1/2021,2021,2606351,0.0098,25272,2,4218,1759,0.417022285,697500,33,0.0025,0,18250.07905,18250.07905,18307.59468,18228.63168,18129.47358,-21.44737,28305160526,A
